ID,ANO,PRODUTO,MUNICIPIO,UF,VL_TONELADA
,2022,ABACATE,ABATIA,PR,"0,32"
,2022,ABACATE,AGUANIL,MG,"56,92"
,2022,ABACATE,AGUAÍ,SP,"1.271,29"
,2022,ABACATE,ALFREDO CHAVES,ES,"2,00"
,2022,ABACATE,ALTINÓPOLIS,SP,"2.067,18"
,2022,ABACATE,AMPARO,SP,"4,56"
,2022,ABACATE,ANALÂNDIA,SP,"2,04"
,2022,ABACATE,ANDRADAS,MG,"3,08"
,2022,ABACATE,ARAPONGAS,PR,"392,78"
,2022,ABACATE,ARARAS,SP,"3.200,13"
,2022,ABACATE,AREALVA,SP,"0,30"
,2022,ABACATE,ARTUR NOGUEIRA,SP,"25,60"
,2022,ABACATE,ATIBAIA,SP,"1,00"
,2022,ABACATE,AVARÉ,SP,"329,72"
,2022,ABACATE,BATATAIS,SP,"433,90"
,2022,ABACATE,BAURU,SP,"967,32"
,2022,ABACATE,BELO HORIZONTE,MG,"0,22"
,2022,ABACATE,BERNARDINO DE CAMPOS,SP,"209,66"
,2022,ABACATE,BOA ESPERANÇA,MG,"12,00"
,2022,ABACATE,BRAGANÇA PAULISTA,SP,"9,88"
,2022,ABACATE,BRAÚNA,SP,"0,06"
,2022,ABACATE,BRODOSQUI,SP,"3.501,49"
,2022,ABACATE,BUENO BRANDÃO,MG,"33,34"
,2022,ABACATE,CACHOEIRA PAULISTA,SP,"16,80"
,2022,ABACATE,CAJATI,SP,"0,84"
,2022,ABACATE,CAJURU,SP,"261,50"
,2022,ABACATE,CAMPANHA,MG,"10,70"
,2022,ABACATE,CAMPINAS,SP,"134,13"
,2022,ABACATE,CAMPOS ALTOS,MG,"84,92"
,2022,ABACATE,CAPELA DO ALTO,SP,"1,04"
,2022,ABACATE,CAPETINGA,MG,"4,00"
,2022,ABACATE,CAPÃO BONITO,SP,"11,79"
,2022,ABACATE,CARLÓPOLIS,PR,"40,48"
,2022,ABACATE,CARMO DA CACHOEIRA,MG,"3.034,28"
,2022,ABACATE,CASA BRANCA,SP,"714,93"
,2022,ABACATE,CASTELO,ES,"13,12"
,2022,ABACATE,CESÁRIO LANGE,SP,"0,76"
,2022,ABACATE,CHILE,OU,"65,12"
,2022,ABACATE,CONCEIÇÃO DAS ALAGOAS,MG,"13,00"
,2022,ABACATE,CONCEIÇÃO DO CASTELO,ES,"4,00"
,2022,ABACATE,CONCEIÇÃO DOS OUROS,MG,"5,06"
,2022,ABACATE,CONCHAL,SP,"821,36"
,2022,ABACATE,CONTAGEM,MG,"0,84"
,2022,ABACATE,CORDEIRÓPOLIS,SP,"1.426,18"
,2022,ABACATE,COSMORAMA,SP,"5,16"
,2022,ABACATE,CÂNDIDO RODRIGUES,SP,"5,90"
,2022,ABACATE,DESCALVADO,SP,"163,49"
,2022,ABACATE,DOMINGOS MARTINS,ES,"0,74"
,2022,ABACATE,ECHAPORÃ,SP,"78,00"
,2022,ABACATE,ELIAS FAUSTO,SP,"1,02"
,2022,ABACATE,ENGENHEIRO COELHO,SP,"26,26"
